city;country
Ensenada;Mexico
Seoul;South Korea
Pearl River;China
Rome;Italy
Cuenca;Ecuador
Central;Austria
Bangkok;Thailand
Oran;Algeria
Zhaoyuan;China
Port Area;Philippines
University;Indonesia
Canton;China
Enterprise;Bhutan
Prato;Brazil
Hangzhou;China
University;Kazakhstan
Mumbai;India
Kampala;Uganda
University;Hong Kong
Sfax;Tunisia
Mobile;Jordan
Berlin;Germany
Cape Town;South Africa
Genhe;China
Douglas;Canada
Amman;Jordan
Un;Brazil
Khairpur;Pakistan
Petersburg;Russia
Basel;Switzerland
Tarkwa;Ghana
Lima;Peru
Tijuana;Mexico
Cusco;Peru
Xiamen;China
Accra;Ghana
Durban;South Africa
Oaxaca;Mexico
University;China
Kaunas;Lithuania
University;Puerto Rico
Delta;China
Cagliari;Italy
University;Qatar
Beijing;China
Fuzhou;China
Belém;Brazil
Solingen;Germany
Enterprise;China
Prospect;China
Hanoi;Vietnam
Pula;Italy
Kunming;China
University;Romania
Valparaiso;Chile
Lagos;Nigeria
Yushu;China
Chengdu;China
Goa;India
Durango;Mexico
Bordeaux;France
Enterprise;Saudi Arabia
University;Sri Lanka
Rio de Janeiro;Brazil
Dakhla;Morocco
Shenzhen;China
Owerri;Nigeria
