key;author;employer;country
conf/iceis/Brant-RibeiroAM15;Michel S. Soares;Technological University (Kyaukse);MM
conf/onlinegreencomm/LombardoRRS12;Giovanni Schembra;Technical University of Timisoara;RO
conf/naa/TrobecOS96;Bostjan Slivnik;Universidade Gama Filho;BR
conf/icra/HerzigJPD21;Eduardo R. Perez-Guagnelli;Universitat Pompeu Fabra;ES
conf/embc/Santillan-Guzman13;Ulrich Heute;Henan Univeristy;CN
conf/sefm/AmighiDBH15;Marieke Huisman;Universidade Federal de São Paulo;BR
conf/ahfe/HsiehKL20a;Lung-Wen Kuo;Ecole Européen des Affaires;FR
conf/eurospi/AkarsuMGY18;Özgün Onat Metin;Bifrost School of Business;IS
conf/hpcc/LiuJWZWH19;Ruicheng Liu;Université Stendhal (Grenoble III);FR
conf/cso/WangLH09;Zhiguo Hong;Institute of Teachers Education, Sultan Abdul Halim;MY
conf/icdsp2/YangCSTY21;Jian Yang 0009;Missouri Southern State College;US
conf/www/MirianDSVT19;Stefan Savage;Setsunan University;JP
conf/taai/ChenKP12;Yi-Cheng Chen;De Montfort University Leicester;GB
conf/mm/XuZX0Z0Z17;Fei Wu 0001;Xi'an International Studies University;CN
conf/bics/WangWRZWZ18;Hongwei Wang;Fachhochschule Ingolstadt;DE
conf/ccece/RizkDEA09;Sami A. El-Dolil;Universidad Nacional de Villa María;AR
conf/miccai/MhiriMR20;Islem Rekik;Dalanj University;SD
conf/apsipa/LiangFZZW19;Jinglei Zhou;University of Melbourne;AU
conf/ipin/NyqvistSHG15;Martin A. Skoglund;Wakayama Medical College;JP
conf/pts/RusuMTJJ04;Thierry Jéron;Dr. Hari Singh Gour University, formerly University of Sagar;IN
conf/icicic/HuangYS06;Tao Huang;Madurai Kamaraj University;IN
conf/chinz/BarrBN02;Robert Biddle;Southeastern College of the Assemblies of God;US
conf/bcicts/KoosRFZSWWHUKZM20;Thomas Zwick;Universitas Muhammadiyah Magelang;ID
conf/secrypt/PoddarBM14;Pratik Poddar;Université de Guelma;DZ
conf/ACMace/MiyaharaNO09;Naoto Nakamura;Universitas Methodist Indonesia;ID
conf/sp/SeshadriPDK04;Pradeep K. Khosla;Ukhta State Technical University;RU
conf/cvpr/WangW11;Xiaogang Wang;Avila College;US
conf/bildmed/FriedrichJZDYBBAB12;Til Aach;Oklahoma State University - Institute of Technology;US
conf/uic/YuHGZY16;Tongfei Gao;Ecole Centrale d'Electronique - ECE;FR
conf/icde/OriaOIXC00;M. Tamer Özsu;Zhetysu State University ;KZ
conf/wimob/SilvaNDR09;Mieso K. Denko;Universidade Cruzeiro do Sul;BR
conf/cis/ZhuRQWWC16;Ying Cao;Nayanova University;RU
conf/mrs/LeeBH21;Geoffrey A. Hollinger;University of North America;US
conf/debs/HullDMFGHHHLMNSV11;Elio Damaggio;Milligan College;US
conf/policy/ChadwickSOL06;Linying Su;Universidad Autónoma del Caribe;CO
conf/cdc/VitusZAHT10;Wei Zhang 0013;Universitas Negeri Jakarta;ID
conf/icegov/HelbigDHC11;Sharon S. Dawes;British College of Osteopathic Medicine;GB
conf/miccai/KhanSVS019;Javier Villafruela;University of the South;US
conf/ieaaie/BelliCS90;Fevzi Belli;D'Youville College;US
conf/iiaiaai/KanazawaAMH14;Akinori Minazuki;German Jordanian University;JO
conf/p2p/ChampelKS09;Mary-Luc Champel;Agnes Scott College;US
conf/globecom/TombazFASTF15;Pål K. Frenger;Memorial University of Newfoundland;CA
conf/aina/HuangLLCC05;Chia-Yin Lee;University of Montana Western;US
conf/iwmm/GuCBZD09;Chengliang Zhang;Université Claude Bernard (Lyon I);FR
conf/icsr/ShenPZ09;Xin Peng 0001;University of Sioux Falls;US
conf/5gwf/SchreiberT18;Marcos Tavares;Far East State Transport University;RU
conf/icb/TerhorstFDKK20;Florian Kirchbuchner;Concordia College, Bronxville;US
conf/saint/YiJZZ05;YiPing Zhong;Fachhochschule Offenburg, Hochschule für Technik und Wirtschaft;DE
conf/nems/HungCHTYLL12;Fong-Yu Cheng;Universidad Pablo de Olavide;ES
conf/mdm/LorenzoSLL13;Raymond Lloyd;Universidad Cristiana de las Asambleas de Dios;SV
conf/itat/AntoniBGGKKNSAS19;Peter Gurský;Universitas Bakrie;ID
conf/pimrc/KomuroH00;Nobuyoshi Komuro;Brussels Management School (ICHEC);BE
conf/apsipa/XuHSGD19;Lirong Dai 0001;Stockholm School of Economics;SE
conf/dese/ZubaidiAMHAH19;Rafid M. Alkhaddar;Oklahoma State University - Tulsa;US
conf/tencon/MoraSSTLH21;Soren Subritzky;University of Resita;RO
conf/icip/ZhangHTG13;Wen Gao 0001;Asahi University;JP
conf/fskd/WangXX07;Jun Xie;Universidad Hispanoamericana;CR
conf/fire/KosmajacK17;Vlado Keselj;Rust College;US
conf/embc/AlvarezSSMYdGBL19;Xiaobo Li;University of Bari;IT
conf/uist/KovacsWSCMMKBSR17;Robert Kovacs;Western Carolina University;US
conf/sdm/ZhangCXLYR16;Chun-Ta Lu;Hanoi University of Mining and Geology;VN
conf/smc/MacielBR98;Paulo R. M. Maciel;Lviv Medical University;UA
conf/igarss/ZhaoWSLL19;Fengping Wen;Addis Ababa Science & Technology University;ET
conf/ro-man/BlinTFF17;Nassime Blin;Yeshiva University;US
conf/aiia/GaglioGRO07;Salvatore Gaglio;Samara State Aerospace University;RU
conf/ialp/YangTC16;Tzu-Hsuan Tseng;University of Wisconsin - Milwaukee;US
conf/aied/HoracekW07;Magdalena Wolska;Universitas Tunas Pembangunan;ID
conf/isscc/LimJWLKKCKKPJ12;Hyungsoo Kim;Universidad del Valle de Atemajac;MX
conf/pci/KatsantonisFM17;Panayotis E. Fouliras;Universidad Gran Mariscal de Ayacucho;VE
conf/hpdc/StockingerSHAFT01;Koen Holtman;CollegeAmerica, Denver;US
conf/ccnc/AnRL16;Seung Hwan Lee;Osmania University;IN
conf/ismict/HamalainenPMGFT15;John R. Farserotu;Kazan State University of Medicine;RU
conf/iolts/TakasakiHKT20;Ryoichi Kida;South Carolina State University;US
conf/pci/KazanidisVKK12a;Stavros Valsamidis;Chicago State University;US
conf/elpub/RoleCI01;Stéphane Chaudiron;University of Puget Sound;US
conf/icic/YinCYX06;Zhixiang Yin;Universitas Mercu Buana;ID
conf/bcb/TradigoCAGPVP16;Stefano Alcaro;Molloy College;US
conf/rtss/RoychoudhuryTTZ04;Vera A. Zvereva;St. Petersburg State Chemical Pharmaceutical Academy;RU
conf/emnlp/KimKLLKJ0KKSLJL21;Minyoung Jeong;Universidade de Tocantins;BR
conf/enase/LabeyBS08;Sven De Labey;Universitas Khairun;ID
conf/teem/PonceMP14a;Laura Briz Ponce;International College of the Cayman Islands;KY
conf/winsys/SilvaSCRDJ06;João Carlos Silva 0001;University of Alabama - Tuscaloosa;US
conf/mwscas/QuinteroPGHP17;Carlos Perez;Asbury College;US
conf/emnlp/TureB14;Ferhan Türe;Universitas Komputer Indonesia;ID
conf/ismvl/GrygielPMLJ97;Stan Grygiel;Comilla University;BD
conf/isscc/ChungCHLWKCLLLHKCLCHCCSSLJHSCHHZSDC12;Hong-Kai Hsu;University of Iowa;US
conf/semweb/SantamariaVBBK19;Suzana Basic;Kodolanyi Janos University College;HU
conf/iwcmc/ZouVR09;Yaning Zou;Universitas Nasional Jakarta;ID
conf/interact/HasanGH97;Helen Hasan;Miyagi University;JP
conf/cbse/LiZYYM10;Minghui Zhou;College of Aeronautics;US
conf/icsoc/JordanSGMS13;Markus Stumptner;Moscow State University of Civil Engineering;RU
conf/IEEEcit/LiXZZ05;Wenshu Li;Universität Potsdam;DE
conf/sii/ShirakawaMYM15;Takayuki Matsuno;Hokkaigakuen University of Kitami;JP
conf/icassp/RostaingPT96;Thierry Pitarque;Senshu University;JP
conf/fie/QuSSH18;Timothy J. Hickey;Johann Wolfgang Goethe Universität Frankfurt am Main;DE
conf/ihc/AlencarBN15;Tatiana Silva de Alencar;Mills Grae University;US
conf/gecco/ProdanUV05;Mircea Vladutiu;Universitas Indonesia;ID
conf/pcs/SkorupaSMLWG09;Jozef Skorupa;University of Medicine and Pharmacology of Oradea;RO
conf/iccvw/ShafieeBLCKSW17;Brendan Chwyl;Universidade de Nova Iguaçu;BR
conf/dac/ChenZYG0019;Xuan Zeng 0001;"Academy of Music ""Georghe Dima"" Cluj-Napoca";RO
conf/visapp/FanelloNMO13;Sean Ryan Fanello;Tokyo Women's Medial College;JP
conf/tale/HepnerC20;Trevor E. Carlson;Instituto Superior de Gestão - ISG;PT
conf/miigp/ConnollyKDSZJDK11;Paul Segars;University of Hertfordshire;GB
conf/icce/KojiriKW05;Yuji Kanematsu;School of Banking and Management in Cracow;PL
conf/globecom/GeorgeSN09;John George;Franciscan School of Theology;US
conf/intenv/XieLKK17;Pankoo Kim;Monterey Institute of International Studies;US
conf/smc/PennycottNGSG13;Tommaso Goggia;First Nations University of Canada;CA
conf/imc/BatesPNHB14;Braden Hollembaek;Oakland City University;US
conf/inex/CrouchCVCM10;Sandeep Vadlamudi;Southern California College of Optometry;US
conf/iscas/DuncanMS93;Ralph A. Duncan;Fachhochschule Eberswalde;DE
conf/icra/TakahashiTKI01;Yohei Ishii;Universidade Federal de Minas Gerais;BR
conf/iiki/ZhengZKW17;Yinfei Kong;Ittihad University;AE
conf/vlsic/ImCFCZZCMLCZTBT18;Stanley Chen;Concordia College, Bronxville;US
conf/avss/LiCDWXOGZW16;Kaan Ozbay;Wofford College;US
conf/ipin/PotortiCBP18;Francesco Potorti;Universidad de La Coruña;ES
conf/cdc/RezaieniaGLT18;Tamás Linder;Swiss Management Center;CH
conf/synasc/DinisIN18;Todor Ivascu;Central China Normal University;CN
conf/globecom/Chen0HCCCL19;Yong Liu 0005;Naval Postgraduate School;US
conf/icumt/JayaprakasamS09;Vinod Sharma;University of Central Texas;US
conf/icassp/StarovoitovSS00;Dmitry Samal;Taganrog State University of Radioengineering;RU
conf/icra/HanaharaMU86;Takashi Uchiyama;Malaspina University College;CA
conf/iccabs/SankoffWZN14;David Sankoff;Federal University of Petroleum Resources;NG
conf/tsp/FilippovKUHGA15;Dalibor Uhlir;Universidad Tecnológica de El Salvador;SV
conf/gfheu/HrehovcsikKTJ14;Micah Hrehovcsik;Koc University;TR
conf/wcsp/WangWW20;Xianglin Wei;Bahir Dar University;ET
conf/sigir/WangRFZHB11;Jiawei Han 0001;Institute of Teachers Education, Keningau;MY
conf/sigmod/HaynesDHMBCC21;Brandon Haynes;Pontificia Universidade Católica do Paraná;BR
conf/soda/GasieniecPRZ07;Leszek Gasieniec;Western New Mexico University;US
conf/ict/BenbadisKL18;Hicham Khalife;Karel De Grote Hogeschool;BE
conf/icra/DuttaGSK20;Ayan Dutta 0001;Universidad Técnica Latinoamericana;SV
conf/dac/HanauL80;Paul R. Hanau;Université Kofi Annan;GN
conf/icra/BattsKY16;Zachary Batts;Nankai University;CN
conf/percom/JuMLYS12;Youngki Lee;St. Petersburg State University of Telecommunication;RU
conf/cica/ShillMM13;Pintu Chandra Shill;Royal Danish School of Pharmacy;DK
conf/acsac/SlankasXWX14;Tao Xie 0001;Dnepropetrovsk National University;UA
conf/siu/AltanH17;Rifat Hacioglu;Black Hills State University;US
conf/icton/KazovskyGDYAN14;Anthony Ng'oma;Tokai University Educational System;JP
conf/saso/HanLP16;Sungyong Park;Universidade Aberta Lisboa;PT
conf/momm/FuCKL14;Sing-Ling Lee;Aletheia University;TW
conf/interspeech/ChenGLAA01;Langzhou Chen;Johnson & Wales University, Charleston;US
conf/icmc/CaseyG07;Mick Grierson;Universiti Malaya;MY
conf/fgit/PapakostasKMGO10;Dirk van Ormondt;Iranian Academy of Persian Language and Literature;IR
conf/gpc/ZhouLW20;Chanxin Zhou;Dominican School of Philosophy and Theology;US
conf/peccs/ChoiLMBD15;E. I. Marukovich;Université de Yaoundé I;CM
conf/siggrapha/GerstmannPHBMW11;Toby Potter;Independent University, Bangladesh;BD
conf/apsipa/HeoSKL21;Sanghoon Lee 0001;Institute of Commerce and Business;MN
conf/asist/YadamsurenPWWE08;Borchuluun Yadamsuren;Ryerson Polytechnic University;CA
conf/ppam/WrzeszczNLSDSK17;Jacek Kitowski;Fort Lewis College;US
conf/aaai/JiangLLS18;Hongtao Lu;University of Hydraulic Electric Engineering;CN
conf/icdcsw/ZunigaK03;Marco Zuniga;University College of Trollhättan/Uddevalla;SE
conf/isvlsi/FanMLHCH17;Hua Fan;Paktia University;AF
conf/urai/KimCLCK17;Woojin Chung;Moldova State University;MD
conf/lrec/ChouHH08;Jia-Fei Hong;National Cheng Kung University;TW
conf/acl-socialnlp/KameswariSM20;Radhika Mamidi;Universidad de Granma;CU
conf/icmcs/LuHHWL18;Yijing Hui;National Institute of Technology, Trichy;IN
conf/mass/PadilhaS07;Ricardo Sangoi Padilha;University of Jordan;JO
conf/ictai/LiZL03;Jianmin Li 0001;Université Jean Moulin (Lyon III);FR
conf/pimrc/ParkA15;Mohamed-Slim Alouini;Universidad Autónoma de San Luis Potosí;MX
conf/scia/ZafariESKH17;Heikki Kälviäinen;Fachhochschule Weihenstephan;DE
conf/haid/StammAM11;Sebastian Merchel;Korea National University of Arts;KR
conf/mipro/NovkovicBGG21;Stjepan Gros;Toho College of Music;JP
conf/iscas/ZhaiYLZ10;Wenjun Zhang 0001;Tartu Health Care College;EE
conf/pkdd/KaravasilisBN11;Konstantinos Blekas;Seberang Perai Polytechnic;MY
conf/nips/WangGNL15;Zhaoran Wang;Central South University;CN
conf/ipps/BomelMD13;Pierre Bomel;Lithunian Institute of Physical Education;LT
conf/cvpr/MasiRMN16;Prem Natarajan;Northwestern College St. Paul;US
conf/nips/KochMLHLS92;Jin Luo;Foreign Trade University;VN
conf/healthyIoT/SoriciAKMCMSF16;Imad Alex Awada;University of International Business;KZ
conf/igarss/Kahraman0CT19;Sevcan Kahraman;Universidad Nacional Abierta y a Distancia;CO
conf/dcscw/EinhoffSGR00;Christian Rühl;Glion Institute of Higher Education;CH
conf/euroitv/RautiainenHSCKY13;Vassilis Kostakos;Université d'Angers;FR
conf/mm/YangZGKPW99;John Kominek;Ladoke Akintola University of Technology;NG
conf/semco/ChangL07;Jae-Woo Chang;University of the Immaculate Conception;PH
conf/icfec/BuzachisGCFV19;Antonio Celesti;State University of New York College at Oneonta;US
conf/aspdac/KaoLH07;Chung-Fu Kao;Universitas 17 Agustus 1945 Samarinda;ID
conf/bcicts/DavyNRMDMRM21;Colin Mismer;Xi'an Jiaotong-Liverpool University;CN
conf/itng/ShenLQJC14;Daniel Caban;Ashiya University;JP
conf/icra/MonteriuAVL07;Prateek Asthana;Universität Kassel;DE
conf/rcis/BampatziaALRB15;Varvara Bravou;Universidad del Salvador;AR
conf/wasa/ZengZ17;Yu Zeng;Baylor College of Dentistry;US
conf/infocom/XuZZKL20;Yan Zhang 0058;Sanyo Gakuen University;JP
conf/pimrc/ChenF03;Pingzhi Fan;Virginia Intermont College;US
conf/acssc/NagarajRSRNYPH15;Shirish Nagaraj;Agricultural University of Georgia;GE
conf/ipps/BouhadibaMMCMM13;Tayeb Bouhadiba;Kobe University;JP
conf/vldb/FungYYL05;Jeffrey Xu Yu;Schiller International University, Paris;FR
conf/mobiquitous/RizkAY021;Moustafa Youssef 0001;Universidad Rey Juan Carlos;ES
conf/isbi/YanXXCL20;Chengfei Cai;Oriental University;RU
conf/noms/YangQMR10;Luoming Meng;Yantai University;CN
conf/bmei/HuangLHLLL17;Xianhai Huang;University of Tennessee Space Institute;US
conf/iwasi/PiccaBMMFSTZNCT19;Davide Blasi;Simpson College Iowa;US
conf/bic-ta/WeiHHLC16;Zhifeng Hao;St. Francis College, Loretto;US
conf/vl/RodriguezPIBG17;Joseph Isaac;Bishkek Humanities University;KG
conf/dh/GalloSMBL13;Fabio Bruno;Technical University of Budapest;HU
conf/semweb/SejdiuEML18;Jens Lehmann 0001;University of Agriculture and Veterinary Medicine Iasi;RO
conf/ner/SridharanDM21;Jonathan Duncan;International School of Business Management;CH
conf/icpram/PistellatoBACGT19;Mara Pistellato;Université Catholique de Kabgayi;RW
conf/embc/StefanovP14;Dimitar H. Stefanov;University of Nigeria;NG
conf/gpce/JarviFH14;Magne Haveraaen;Poole Gakuin University;JP
conf/eurosp/BusseTKZ0TX20;Jing Tian;University College of the Fraser Valley;CA
conf/icse/MaplesdenRTHG15;John C. Grundy;Sardar Vallabhai Patel University of Agriculture Amd Technology;IN
conf/iccsa/JungHC14;Jun-Kwon Jung;Kendall College;US
conf/icip/EklundAK12;Hans Knutsson;Universidad del Pacífico;CL
conf/reconfig/AsadZSSF09;Arghavan Asad;Universidad Andina Simón Bolivar;BO
conf/nanocom/Chude-OkonkwoVM17;Reza Malekian;"University of Korca ""Fan Noli""";AL
conf/robio/DuYS004;Lixin Fu 0002;Otto-Friedrich Universität Bamberg;DE
conf/eccv/ChenD20;Mike E. Davies;Third University of Rome;IT
conf/acl/MaynardTC03;Hamish Cunningham;Katholieke Hogeschool Limburg;BE
conf/ssiri/KhanhT10;Truong Khanh Nguyen;Chelsea College of Art and Design;GB
conf/embc/JiangXLLDC20;Ke Xu 0006;Universidad Politecnica de Nicaragua;NI
conf/iwcmc/CarlinetHKMNT12;The Dang Huynh;Universitas Sriwijaya;ID
conf/indin/DannyFLG17;Niels Lohse;Wakkanai Hokusei Gakuen University;JP
conf/icpr/MukherjeePCKR94;K. K. Rao;Bahcesehir University;TR
conf/vlsi/ChaiSXLZC11;Zhiyong Xiao;St. Francis College, Fort Wayne;US
conf/ddecs/HsiaL06;Wen-Ching Lee;Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique;FR
conf/mm/TournouxBLL09;Emmanuel Lochin;Sharif University of Technology;IR
conf/aaai/PascalMBHZ21;Pietro Michiardi;University of Bergamo;IT
conf/isvlsi/ChenLLJZCGLLWSC15;Zonglin Liu;Schiller International University, Madrid;ES
conf/icwn/NematbakhshJH09;Mohammad Ali Nematbakhsh;Global Business School Barcelona;ES
conf/embc/ThomasHLLLHKDC12;Mathew Thomas;California Polytechnic State University - San Luis Obispo;US
conf/icassp/GodsillY06;Simon J. Godsill;Heilongjiang August 1st Reclamation University;CN
