key;author;employer;country
journals/superfri/DruzhilovskiySS20;Nadya I. Tarasova;University of Targu Jiu;RO
journals/mta/QuanFLC20;Songhe Feng;Pädagogische Hochschule Karlsruhe;DE
journals/tim/WisniewskiMB99;Michal Wisniewski;Yeditepe University;TR
journals/ijnsec/Al-khatibH18;Rosilah Hassan;Belarussian State Polytechnical Academy;BY
journals/cce/YuanLH16;Zukui Li;Odessa State Medical University;UA
journals/tcom/KarolS94;Stuart C. Schwartz;Rajamangala University of Technology, Phra Nakhon;TH
journals/tac/CacaceCG15;Filippo Cacace;Wiley College;US
journals/jcmse/ChenHWCZ20;Teng Zhu;Islamic Azad University, Ardabil;IR
journals/paapp/AbdelmohsenMTH17;Sherif Abdelmohsen;Norwegian School of Management BI;NO
journals/corr/abs-1807-05800;Takashi Matsubara 0001;Atlanta College of Art;US
journals/tmm/LiuSL17;Shicong Liu;Claremont Graduate University;US
journals/tvt/JingZLXCHBZ15;Xiuzhen Cheng;College of Dunaujvaros;HU
journals/tsmc/KazienkoMK11;Przemyslaw Kazienko;Université Catholique de l' Ouest;FR
journals/wcl/AfshangSD17;Harpreet S. Dhillon;Universidad Amazonica de Pando;BO
journals/ijwmip/FarkovLS15;Maria Skopina;University of Maribor;SI
journals/iam/YouHCH21;Yi He;Ballsbridge University ;DM
journals/access/LiuQWLL19;Jing-Hui Qiu;Janos Selye University;SK
journals/tcom/AbdelNabiARS18;Mohammad Shaqfeh;Florida State University;US
journals/ijgi/BechtelABCCFMSS15;Iain Stewart 0001;Otis College of Art & Design;US
journals/jgo/GalvanRPMT13;Jesús Pacheco;Budapest University of Economic Sciences and Public Administration;HU
journals/tgrs/HenkeDSSM15;Erich Meier;Najran University;SA
journals/nar/DantzerMHM05;Randy W. Heiland;Université de Bandundu Ville;CD
journals/corr/RamponiCSL09;John Lygeros;China Three Gorges University;CN
journals/cstat/HasanB21;Roel Braekers;Universidad Catolica de Valparaiso;CL
journals/corr/abs-2007-02014;Matias Quintana;University of Zambia;ZM
journals/cg/GanglbergerSFKH19;Joanna Kaczanowska;Deutsche Telekom Fachhochschule Leipzig;DE
journals/kes/LangerGHLTH06;Martin Lorenz;Faculdades Integradas UPIS;BR
journals/symmetry/AbughazalahY18;Naveed Yaqoob;Sharif University of Technology;IR
journals/tvt/ZhangWJ09;Xiaodong Ji;University of Portharcourt;NG
journals/tcad/ShafikY0MMA16;Sheng Yang;Universidad Veritas;CR
journals/jair/CaliGK13;Michael Kifer;Rikkyo University (St. Paul's University);JP
journals/softx/RenaudJHGBX20;Yong Jung;Marij State University;RU
journals/access/OliveiraTFL18;Edson Farias de Oliveira;"Universidad Técnica de Esmeraldas ""Luis Vargas Torres""";EC
journals/bioinformatics/NagarajanK08;Uri Keich;Arkansas State University, Mountain Home;US
journals/sensors/LiHGY21;Miao Yu;Universität Kaiserslautern;DE
journals/paapp/BianchiPV18;Gennaro Vessio;Avondale College;AU
journals/jirs/MarichalTAMSG06;Leopoldo Acosta;Universidade Potiguar;BR
journals/neuroimage/ShengLLFH14;Hong Li;University of Jos;NG
journals/ton/LeeLYCKC16;Mung Chiang;Tokai University;JP
journals/cin/MouallaKJ21;Khaldoun Khorzom;Schiller International University, Heidelberg;DE
journals/corr/abs-2105-01271;Alireza Doostan;Universidad Pedagógica Nacional, Unidad León;MX
journals/ml/SuttorpHI09;Nikolaus Hansen;Universiti Malaysia Kelantan;MY
journals/scl/ApkarianN06;Pierre Apkarian;Eurasian Institute of market;KZ
journals/corr/abs-2111-12892;Zhicheng Wang;University of Udine;IT
journals/jsw/WangWZZZ13;Huiyong Wang;Nagaoka University of Technology;JP
journals/chinaf/CaoYYFZ10;Lei Cao;Université Virtuelle de Tunis;TN
journals/tcas/DSouzaHTTBC13;Mau-Chung Frank Chang;Université de Bamenda;CM
journals/corr/abs-1907-09198;Shima Sadat Mousavi;International University of Sarajevo;BA
journals/corr/abs-2101-06030;Yunlong Wang 0005;Kigali Health Institute;RW
journals/anor/AdidaP10;Georgia Perakis;Zhetysu State University ;KZ
journals/tmm/LiuMZFWDX16;Guozhong Dai;Hannibal-Lagrange College;US
journals/isci/Varela-SantosM21;Sergio Varela-Santos;University of Colorado Health Sciences Center;US
journals/scientometrics/StockemerW19;Michael J. Wigginton;"University ""Petre Andrei"" Iasi";RO
journals/corr/abs-1909-04223;Xingyu Xu;Brac University;BD
journals/ijsysc/SharmaBAY16;Jagdish Chand Bansal;Pedagogical University of Zielona Gora;PL
journals/tvcg/WangLFCQ19;Siwei Fu;Adama Science and Technology University;ET
journals/qre/PalumboCSM11;G. De Chiara;Université de Montpellier I;FR
journals/wpc/JattalwarBS20;Suresh S. Balpande;Pennsylvania State University - Schuylkill;US
journals/gandc/KloecknerMRC19;João Felipe Coimbra Leite Costa;University of Missouri - Columbia;US
journals/siamjo/AndreaniMRS16;Paulo J. S. Silva;University Marien Ngouabi Brazzaville;CG
journals/ral/GlotfelterBE19;Magnus Egerstedt;Abo Akademi University;FI
journals/neuroimage/GrimaultNLVHPZRJ14;Robert J. Zatorre;Université de Sétif;DZ
journals/tnn/GuHY19;Linyan Gu;Bank Street College of Education;US
journals/access/HuangDBLWLH21;Jiaxuan Lu;Shaanxi Normal University;CN
journals/remotesensing/Fernandez-Martinez19;Josep Peñuelas;American University of Sharjah;AE
journals/ijcnds/RahmouniEEO16;Lahcen Omari;Chinese University of Hong Kong;HK
journals/corr/abs-1912-10829;Elena Zheleva;Université Kasdi Merbah Ouargla;DZ
journals/tmm/WangSZLD20;Frédéric Dufaux;Universidad Privada de Santa Cruz de la Sierra;BO
journals/nature/MannoSZBHPLKLFF18;David van Bruggen;Nippon Medical School;JP
journals/ijns/LindseyDHJ92;Clark S. Lindsey;Technological Education Institute of Thessaloniki;GR
journals/neuroimage/LehmannHGGW21;Richard N. A. Henson;Saito College;MY
journals/tvt/WeiPMQW19;Zhonghua Wei;American University in Bulgaria;BG
journals/corr/abs-1208-4165;Joseph M. Hellerstein;Fachhochschule Ulm, Hochschule für Technik;DE
journals/cacie/XiongZSWZ11;Tao Xiong;Chamreun University of Poly Technology;KH
journals/tit/ArnoldLVKZ06;Hans-Andrea Loeliger;Chatham College;US
journals/tjs/PfeifferAKLR90;Wayne Pfeiffer;Fundacion Escuela Colombiana de Rehabiliación;CO
journals/sensors/ZhangLT15;Yanli Liu 0005;Kwansei Gakuin University;JP
journals/ijgs/HouDZLA18;Hongli Dong;San Beda College;PH
journals/remotesensing/XiongWXLY19;Chengde Lin;Midwestern State University;US
journals/twc/ChoA09a;Jeffrey G. Andrews;Muhimbili University of Health and Allied Sciences (MUHAS);TZ
journals/corr/abs-2009-12478;Yelena Yesha;Gardner Webb University;US
journals/chb/TepASD22;Sandrine Prom Tep;Transylvania University;US
journals/ejcon/TrujilloBGRR21;David Gómez-Gutiérrez;Smolny University;RU
journals/na/DuZ19;Liyun Zuo;Vitebsk State Medical University;BY
journals/corr/abs-2010-10820;Yulia Tsvetkov;Rybinsk State Academy of Aviational Technology;RU
journals/jnca/AshrafH15;Qazi Mamoon Ashraf;Dong-A University;KR
journals/bmcbi/BraccialiBCD08;Marcello Brunelli;The American College;US
journals/ibmrd/BigusCCCCCCEEFGGGGHHHHJKKKKMMNNNPPRRRSSSSSTTYZ11;Joseph M. Jasinski;Fachhochschulstudiengänge Hagenberg;AT
journals/icae/Hernandez-Barragan21;Nancy Arana-Daniel;Hogeschool Utrecht;NL
journals/siamcomp/ImKKP19;Nathaniel Kell;Memphis College of Art;US
journals/access/JungKSY19;Young-Hwan You;St. Petersburg State Mountain Institut;RU
journals/tcst/ParkYPC10;Jin Bae Park;Newberry College;US
journals/pr/WeiCYW13;Yu-Chiang Frank Wang;Nihon Fukushi University;JP
journals/corr/abs-1009-1317;Thierry Gautier;International University of Kyrgyzstan;KG
journals/tits/TianZLZJ16;Guangdong Tian;Etisalat University College;AE
journals/tit/SkoglundPA06;Nam Phamdo;Central Queensland University;AU
journals/cviu/MurabitoSPGPR18;Michael Riegler;Latvian Academy of Arts;LV
journals/bmcbi/ZhangA21;Yiran Zhang;Bluffton College;US
journals/tsc/HaghighatS20;Mehdi Shajari;Missouri University of Science and Technology;US
journals/twc/WuWDL07;Ha Dang;University of Hull;GB
journals/jbi/BauerGG17;Johann Bauer;University of Fine Arts Belgrade;RS
journals/rfc/rfc1908;Marshall T. Rose;Universitas 17 Agustus 1945 Banyuwangi;ID
journals/corr/abs-2007-08057;Tony Huynh;Belarussian National Technical University;BY
journals/ijon/ZengHKS14;Rui Huang 0001;The College of Santa Fe;US
journals/mj/WeiHL14;Wei Wei 0034;Universidad Autónoma de Fresnillo;MX
journals/ejivp/JinYC15;Nam Ik Cho;Helsinki University of Technology;FI
journals/tim/ShethS03;Jacob Savir;Manila Central University;PH
journals/peng/NieschlagRDKF18;Paul Ruhland;Deccan College Postgraduate and Research Institute;IN
journals/corr/abs-1804-10500;Patric Jensfelt;Universidad Cristiana de las Asambleas de Dios;SV
journals/ijautcomp/VipparthiN16;Shyam Krishna Nagar;Universidad Autónoma de Veracruz Villa Rica;MX
journals/prl/LiZLGZ20;Keli Zhang;Capital University;US
journals/ited/LoweA13;James K. Lowe;Ecole Nationale des Travaux Publics de l'Etat;FR
journals/ieicet/YamagishiSHHU13;Tatsuo Shiozawa;Baghdad College of Pharmacy;IQ
journals/eswa/YamunaP21;V. Yamuna;American Public University;US
journals/ieeemm/MacedoniaZ97;Michael Zyda;Institute of Teachers Education, Keningau;MY
journals/iotj/LiuLZMGCA19;Nan Zhao 0001;Belhaven College;US
journals/corr/cs-PL-0011036;Naomi Lindenstrauss;St. Matthews University;KY
journals/tit/HossjerH95;Ulla Holst;Universitas Lancang Kuning;ID
journals/corr/abs-2005-07788;Saumitra Mishra;Bashkir State University;RU
journals/entcs/CansellGM07;J. Paul Gibson;Universidad Abierta y a Distancia de Panama;PA
journals/wpc/ZhuXQ14;Zhiguang Qin;University of Benin;NG
journals/neuroimage/AlicartCM20;Josep Marco-Pallarés;Syrian International Private University for Science & Technology;SY
journals/sensors/VolakBJKH20;Libor Hargas;Technische Fachhochschule Wildau;DE
journals/corr/abs-1911-02750;Kainan Peng;Instituto Superior Bissaya Barreto;PT
journals/ijat/PotejanasakPTYY20;Takatoki Yamamoto;Acadia University;CA
journals/aeog/RossiniMGMCCFGJCSC14;Mirco Migliavacca;University of Greenwich;GB
journals/remotesensing/IdowuZ19;Wendy Zhou;Universiti Teknologi Petronas;MY
journals/cce/OrrSMJHT18;Sai Vamshi R. Jonnalagadda;Africa Nazarene University;KE
journals/bmcbi/HoranSG10;Thomas Girke;Dr. YS Parmar University of Horticulture and Forestry;IN
journals/remotesensing/GaoDJNYG21;Siqi Gao;Fuji Women's College;JP
journals/tvcg/YuGEPNR21;Gleb Gorbachev;Saint Mary's University;PH
journals/arobots/HashemifarA0D19;Karthik Dantu;Lithunian Institute of Physical Education;LT
journals/cacm/BradleyGRS02;Raghu Ramakrishnan;California State University, Stanislaus;US
journals/asc/PriyadharsiniR12;S. Suja Priyadharsini;Universidad de la República;UY
journals/comcom/LeducABBDDDCGMPQRSSTUU06;Ivan Gojmerac;Universitat de les Illes Balears;ES
journals/ijcbdd/ZhangGMSL14;Robert S. Munson Jr.;Huazhong University of Science and Technology;CN
journals/mta/YuSXS15;Jie Shao;Escuela Colombiana de Carreras Industriales;CO
journals/ieiceee/XinCXW17;Ruilian Xie;Islamic Azad University, Shiraz;IR
journals/neuroimage/CselenyiJFHJSJVSF10;Katarina Varnäs;Eastern Asia University;TH
journals/sensors/DouTGLYZLSHZ18;Yingying Dou;Lincoln Memorial University;US
journals/behaviourIT/TossellKSRZ12;Chad Tossell;Samarkand State University;UZ
journals/asc/LiP14;Fu-Wen Pang;University of the Philippines Mindanao;PH
journals/ejasp/BevanEFA04;Victor T. Ermolayev;Universität für Bodenkultur Wien;AT
journals/corr/abs-2105-01191;Pawel Pralat;Universitas Jember;ID
journals/biomedsem/JovanovicB17;Jelena Jovanovic 0001;University of Art and Design Cluj-Napoca;RO
journals/chinaf/PangHSY09;Yi Pang;Atomi College;JP
journals/algorithms/ComminielloSAU19;Luis Antonio Azpicueta-Ruiz;National Institute of Fitness and Sports Kanoya;JP
