key;author;employer;country
conf/fc/HartungB11;Christoph Busch 0001;The Art Institutes International Portland;US
conf/icdar/SakodaZP93;Jiangying Zhou;Jinnah University for Women;PK
conf/smc/SugitaY12;Kaoru Sugita;Sherman College of Straight Chiropractic;US
conf/ictai/DingBXF03;Andy W. Fulmer;Standford Online University;US
conf/hicss/DimaM21;Aaron Massey;Kyoto Pharmaceutical University;JP
conf/vts/MajumdarSPSDC11;Amitava Majumdar;Drexel University;US
conf/cimca/ChengSYG06;Guojian Cheng;McPherson College;US
conf/rws/LinLLL18a;Hsin-Chen Lin;Northface University;US
conf/icst/SchneiderGSP13;Andrej Pietschker;University of Illinois at Chicago;US
conf/issta/WangL021;Tao Xie 0001;Stephens College;US
conf/amcis/LiW06;Quanzhi Li;Luhansk State Medical University;UA
conf/gi/SchatzFGP05;Andreas Fleischmann;Atlantic Union College;US
conf/wcnc/AbduKLC21;Eva Lagunas;St. Joseph College;US
conf/nips/PaseroZ92;Eros Pasero;Universidad Nacional Federico Villarreal;PE
conf/ssrr/AjmeraS20;Surya Pratap Singh;Lasell College;US
conf/bmei/GanMWL17;Chengjie Wang;Dneprodzerzhinsk State Technical University;UA
conf/iasam/ChuangKC07;Hung-Shiang Chuang;Higher School o Business/National Louis University(WSB/NLU) in Nowy Sacz;PL
conf/icess/ThapaliyaYK07;Karuna Thapaliya;Ball State University;US
conf/noms/Emanuel94;Michael Emanuel;Bashkir State Pedagogical University named After M. Akmullah;RU
conf/chi/GleasonPMLCKB20;Amy Pavel;Thierry Graduate School of Leadership;BE
conf/iccci/CascavalL19;Florin Leon;Universität Hohenheim;DE
conf/3dim/GaoEKK17;Joachim Keinert;Rochester Institute of Technology;US
conf/icton/PoffoRPDMF20;Christelle Pareige;Universidad de Córdoba;ES
conf/icmcs/BastianL94;Fabio Bastian;Saratov State Medical University;RU
conf/iros/MadapanaLVXWRSB19;Glebys T. Gonzalez;Chongqing Wenli University;CN
conf/icarm/GanZH18;Dongxue Zhang;University of Cagayan Valley;PH
conf/itdrr/NikolovTN16;Irena Nikolova;Harbin Engineering University;CN
conf/cie/Coquand05;Thierry Coquand;Himachal Pradesh Agricultural University;IN
conf/bmei/ZhangSBZMSY18;Fei Ma;Asia University;JP
conf/ipps/ChanGCLD08;A. Dasgupta;Singhania University Rajasthan;IN
conf/robio/HuZX17;Handong Hu;Technical University of Budapest;HU
conf/icdar/StaufferM0IR19;Andreas Fischer 0002;University of Aleppo;SY
conf/tale/MarsonoAJSAA19;Abdul Halim Abdullah;Babol University of Medical Sciences;IR
conf/icip/LaiZL14;Fan Zhang;Islamic Azad University, Hamedan;IR
conf/icra/HofstetterSRH20;Florian Ries;Daugavpils University;LV
conf/saint/Satoh07;Ichiro Satoh;Turkish Military Academy;TR
conf/ivic/DeborahBK11;Arputharaj Kannan;Prince Mohammad Bin Fahd University;SA
conf/webi/BonchiBGS16;Francesco Bonchi;Walter Sisulu University for Technology and Science;ZA
conf/parco/NgueleTM17;Jean-François Méhaut;Hochschule für Politik (HFP);DE
conf/iccnmc/WuD05;Jin Wu;Management Development Institute of Singapore, Tashkent;UZ
conf/wsa/NabaviS20;Armand Nabavi;Northeastern Illinois University;US
conf/lssc/VasilevPK17;A. M. Kardashevsky;Mendel University of Agriculture and Forestry;CZ
conf/milcom/XieWT21;Liming Wang;University of Mary;US
conf/cdc/Fei07;Juntao Fei;Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble;FR
conf/imecs/TranMSC07;Dat Tran 0001;DeVry Institute of Technology, Columbus;US
conf/embc/VaronTBSH12;Bertien Buyse;Hunan Normal University;CN
conf/iwann/Real09;Pedro Real 0001;Chosun University;KR
conf/ifip3/PasterkKB18;Andreas Bollin;University of Education;PK
conf/mm/CoatesBC16;Brooke Colaiezzi;Royal University of Fine Arts;KH
conf/apgv/DixonNTCBC05;Cedric Nishan Canagarajah;Northwest University Xi'an;CN
conf/iciap/JiangMIB05;Christophe Irniger;Hong Kong Institute of Education;HK
conf/aaaifs/KluschGS05;Andreas Gerber;Adama Science and Technology University;ET
conf/fimh/TateGZBDB0M21;Akil Narayan 0001;Karachi School of Art;PK
conf/csia/Hou19;Xiangru Hou;Universidad Adventista de Centro América;CR
conf/dsd/BucekKLZ13;Jirí Bucek;Western Bible College;US
conf/iccbss/LiCSTMB05;Christian Bunse;Universidade Metodista de Piracicaba;BR
conf/interspeech/SundaramN03;Shiva Sundaram;Universidade do Algarve;PT
conf/cicc/LeungDGL04;Junxiong Deng;Stamford University;BD
conf/rtcsa/HsiehK12;Jen-Wei Hsieh;Universitat Jaume I de Castellón;ES
conf/icpads/NourianWB18;Hancheng Wu;National University of Arts;RO
conf/micad/LangenhuizenLZV18;H. B. Verheul;Universidad Adventista Dominicana;DO
conf/networking/GuptaKF04;Michalis Faloutsos;The New School;US
conf/icnp/LiPQZ13;Daji Qiao;Monash University, Malaysia Campus;MY
conf/anss/Dudzik87;W. F. Dudzik;Technical University of Denmark;DK
