key;author;employer;country
journals/eor/GregoireMP09;Bertrand Mazure;Cornell College;US
journals/dm/BrighamDHH09;Robert C. Brigham;Friedrich-Alexander Universität Erlangen-Nürnberg;DE
journals/jvcir/LinMTF08;Chia-Wen Lin;China youth college for political science;CN
journals/tc/Sanchis89;Laura A. Sanchis;DePaul University;US
journals/ijssci/JieQ18;Dawei Qi;Iniciativa Universidad del Atlantico;ES
journals/itiis/LeeC10;Kwangsue Chung;La Salle University;US
journals/jise/ParkC06;Yongsu Park;Kansai University;JP
journals/taes/WuXLL15;Huaping Xu;Universiteit Antwerpen Management School;BE
journals/mti/Ho20;Jeffrey C. F. Ho;Asian Institute of Technology;TH
journals/cbsn/Blanchard07;Anita L. Blanchard;Maltepe University;TR
journals/bspc/YadavRSM15;Asha Rani;The College of Santa Fe;US
journals/ijclclp/ChienP96;Hsiao-Tieh Pu;Wako University;JP
journals/siamco/BernardoMS10;Mario di Bernardo;Pontifcia Universitas a S.Thomas Aquinate in Urbe;VA
journals/csda/Nagahara04;Yuichi Nagahara;Universidad Cooperativa de Colombia;CO
journals/ton/LeeH95;Pierre A. Humblet;Engineering College of Aarhus;DK
journals/ploscb/NagelkerkeAJWMV14;Brian Williams 0002;University of Bath;GB
journals/cviu/HafnerBKG22;Amran Bhuyian;Chikushi Jogakuen University;JP
journals/siamcomp/VishkinW85;Avi Wigderson;University of Minnesota - Duluth;US
journals/ijra/BalakrishnanTS18;Shikha Tripathi;St. Petersburg College;US
journals/eaai/RicaldeS08;Edgar N. Sánchez;University of Veterinary and Pharmaceutical Science;CZ
journals/jicce/KimKP05;Eun Sun Kim;University of Applied Sciences Solothurn Northwestern Switzerland;CH
journals/eswa/Luque-BaenaELPW13;David A. Elizondo;Bunkyo University;JP
journals/systems/Office19;Systems Editorial Office;Madonna University;US
journals/ijcns/ZaitsevS11;Dmitry Anatoly Zaitsev;Toho University;JP
journals/prl/MurtaghS03;Fionn Murtagh;Polytechnic University, Long Island Campus;US
journals/ijon/XuZWW16;Bo Xu;Jumeira University;AE
journals/corr/abs-1901-05372;Antonino Leonardis;Indian Institute of Technology, Roorkee;IN
journals/mr/PlesaNBN17;Andrei Negoita;Gifu University;JP
journals/tamm/Nunemacher08;Jeffrey Nunemacher;Lahti Polytechnic;FI
journals/combinatorics/PonW11;Qiang Wang;Colorado State University-Pueblo;US
journals/ijcm/Allister03;Luisa Nicosia Mc Allister;Krasnoyarsk State Technical University;RU
journals/cartographica/Black05;Jeremy Black;University of Miami;US
journals/corr/abs-1207-4074;Sebastien Roch;University of Science and Culture;IR
journals/appml/HeW21;Tao He;Southwestern Adventist University;US
journals/jifs/ZhuLW20;Yongjun Liu;God's Bible School and College;US
journals/csda/Jokiel-RokitaT20;Alicja Jokiel-Rokita;Universidad Adventista Dominicana;DO
journals/neuroimage/ClarkeRR18;Alex Clarke 0001;Johnson & Wales University, Charleston;US
journals/access/HongMF20;Arnel C. Fajardo;Fachhochschule Koblenz;DE
journals/isci/HungW02;Jong-Wuu Wu;Warnborough University;GB
journals/twc/NgLS11;Derrick Wing Kwan Ng;Schiller International University, American College of Switzerland;CH
journals/corr/abs-0802-3628;Pierre Thierry;Pusan Women's University;KR
journals/access/HuL20;Weixun Hu;Janos Selye University;SK
journals/siamcomp/Karp79;Richard M. Karp;Schiller International University, London;GB
journals/tamm/Colley19b;Susan Jane Colley;Multimedia University of Kenya;KE
journals/ijdc/YoonSC17;Andrea J. Copeland;Vali-e-Asr University;IR
journals/ipm/Aldous96;K. J. Aldous;Shiga University;JP
journals/corr/ArnouxXBMAS17;Anbang Xu;Academy of Sports and Physical Training;AL
journals/ieicet/SakamotoKTTTK07;Itaru Kitahara;Kirchliche Hochschule Bethel;DE
journals/login/BaumannK08;Bernhard Koerber;University of Sudbury;CA
journals/siamam/BalR03;Guillaume Bal;Catholic University of Korea;KR
journals/ram/Margheri17;Laura Margheri;Technological University (Monywa);MM
journals/corr/abs-2102-08334;Kangpei Meng;Université du Sud, Toulon et Var;FR
