key;title;keywords;abstract;booktitle;year;isbn;reviewers;review_text;pages;author;employer;country
conf/fire/BhatSB16;Code Mixed Entity Extraction in Indian Languages using Neural Networks.;Data Querying|languages|code mixed entity extraction|code mixed entity extraction|Data Querying;Non adipisci neque amet voluptatem dolor. Dolor non magnam adipisci. Magnam quisquam tempora sit dolorem est amet. Consectetur neque consectetur adipisci est. Dolorem numquam tempora tempora quisquam sed adipisci. Neque amet voluptatem porro est dolorem. Ut ut voluptatem eius amet velit non. Velit dolorem quisquam dolorem adipisci consectetur. Dolor dolorem adipisci modi. Numquam labore sed sit amet quaerat sed neque.;FIRE (Working Notes);2016;1-896763-79-0;Valdas Rapsevicius|Heloisa V. Rocha|Daji Qiao;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;1;Irshad Ahmad Bhat;University of North Carolina at Wilmington;US
conf/iwann/GonzalezRPO01;RBF Neural Networks, Multiobjective Optimization and Time Series Forecasting.;time series|Data Querying|Data Storage|Data Storage|multiobjective optimization;Sit aliquam consectetur sed quiquia dolorem amet porro. Labore etincidunt neque dolorem. Sed labore porro non quiquia. Neque etincidunt est aliquam est voluptatem eius. Dolorem aliquam porro adipisci quaerat ipsum. Neque est quisquam non.;IWANN (1);2001;0-577-57811-1;Xin Zhang 0053|Antonio Nucci|Peijuan Wang;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;26;Héctor Pomares;Universidad de Guanajuato, Campus León;MX
conf/cvpr/GuoK12;On evaluating methods for recovering image curve fragments.;SVMs|Blockchain|Fintech|image curve fragments;Dolor aliquam eius sed non. Adipisci dolorem tempora eius. Magnam velit est dolore numquam non porro. Eius labore magnam aliquam etincidunt dolorem magnam quiquia. Non velit quisquam dolor. Dolore sed eius magnam etincidunt labore. Velit ut ipsum sed quiquia. Ipsum ipsum quisquam quaerat sed. Est neque dolor modi ut ipsum dolor quaerat.;CVPR Workshops;2012;1-69188-513-4;Jesper Kjær Nielsen|Indira Nurdiani|Sorin P. Voinigescu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;24;Benjamin B. Kimia;Zarka Private University;JO
conf/icst/CanforaMVDFM13;A Case Study of Automating User Experience-Oriented Performance Testing on Smartphones.;case|SVMs|case|case|smartphones;Est quaerat consectetur dolor. Est numquam sit sed amet tempora. Neque eius sed porro magnam. Porro aliquam ipsum ipsum velit. Labore dolorem numquam magnam. Magnam neque sed dolore neque dolorem magnam. Numquam labore consectetur dolorem dolorem ipsum voluptatem est. Numquam quiquia neque magnam dolor aliquam voluptatem dolor. Ut magnam quisquam quaerat consectetur quisquam. Porro dolorem quaerat neque amet.;ICST;2013;0-923030-91-3;Guojian Cheng|Abdul Rahiman Beig|Jingyi Yu;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;27;Antonio Furno;Al Khawarizmi International College;AE
conf/caepia/SanchezRTMH18;A First Step to Accelerating Fingerprint Matching Based on Deformable Minutiae Clustering.;Data Modeling|minutiae clustering|Cloud Computing|accelerating fingerprint|Cloud Computing;Velit adipisci etincidunt labore amet dolorem. Magnam dolore adipisci ut eius ipsum. Dolore labore ipsum sed sit sit. Dolor numquam ipsum dolorem. Neque eius quaerat dolore consectetur.;CAEPIA;2018;0-602-27031-6;D. W. Tong|Takuichi Nishimura|Chiara Grosso;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;22;Andres Jesus Sanchez;University of Texas Health Center at Tyler;US
conf/mediaeval/ThambawitaJRHHJ18;The Medico-Task 2018: Disease Detection in the Gastrointestinal Tract Using Global Features and Deep Learning.;gastrointestinal tract|disease detection|Data Processing|medico-task|global features;Aliquam dolorem quisquam neque quiquia sed numquam porro. Voluptatem tempora velit tempora etincidunt. Numquam quiquia eius quiquia etincidunt sit dolorem etincidunt. Ut magnam non sed aliquam magnam velit. Sit ipsum ut quiquia consectetur sit dolore. Adipisci numquam eius porro ipsum quaerat quiquia magnam.;MediaEval;2018;1-9763-4978-8;Yongik Yoon 0001|Rui Campos|Léopold Désert-Legendre;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;22;Dag Johansen;Katholische Fachhochschule Berlin (KFB);DE
conf/icip/BekeleTS13;Evaluation of binary keypoint descriptors.;binary keypoint descriptors|evaluation|Data Processing|Data Storage|Classification;Quiquia neque voluptatem ipsum. Adipisci tempora dolorem quaerat dolore ipsum labore sed. Est neque porro porro modi sit dolor labore. Adipisci magnam quisquam voluptatem. Consectetur quisquam voluptatem voluptatem velit dolor. Sit labore consectetur est adipisci sit ipsum. Voluptatem sit est quisquam labore est.;ICIP;2013;0-258-46916-1;Gustavo H. Assis|Massimo Fierro|Guillermo Calderón;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;14;Dagmawi Bekele;Kinki University;JP
conf/icfet/SamonteGMM20;Tap-to-Talk: Filipino Mobile Based Learning Augmentative and Alternative Through Picture Exchange Communication Intervention for Children with Autism.;alternative|alternative|filipino mobile based learning augmentative|filipino mobile based learning augmentative|Deep Learning;Velit voluptatem quiquia quisquam sed adipisci. Velit ipsum tempora modi. Etincidunt eius amet neque. Tempora magnam etincidunt dolorem voluptatem dolorem sit. Quisquam etincidunt sed quisquam dolorem labore labore. Velit adipisci ut quisquam eius sed quiquia. Velit amet voluptatem sit non porro amet sit. Consectetur dolorem dolorem adipisci. Modi quaerat quisquam dolor. Non consectetur dolor aliquam est.;ICFET;2020;0-655-23695-3;Barbara Hammer|A. Murat Yagci|Dongjun Lee;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;3;Charlzen Mae C. Guelos;Grace College;US
conf/siggraph/TakauchiOSAH09;Desired deformation of continuum surfaces in 3DCG animation by time varying stable forms: application to make animations of flowers, wings, cloths etc.;cloths etc|stable forms|Blockchain|continuum surfaces|continuum surfaces;Tempora amet non velit. Ipsum porro adipisci dolor quiquia. Tempora ut velit eius tempora neque dolore magnam. Quisquam quisquam voluptatem porro. Labore non adipisci neque neque dolor ipsum. Magnam velit porro est.;SIGGRAPH Posters;2009;0-7671-5472-X;Christian Micheloni|Fuad M. Abinader Jr.|Wei Liu 0011;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;20;Hiromu Saito;University of California, Oakland;US
conf/cogsci/PerriFMSVR19;Benefits of Active Control of Study in Autistic Children.;active|SVMs|autistic|Big Data|Classification;Modi non quiquia modi dolore velit neque. Non numquam amet dolor porro etincidunt sit magnam. Velit consectetur quisquam dolore sed. Tempora ipsum quisquam ut dolore velit. Tempora velit numquam labore etincidunt quaerat voluptatem eius. Sed porro dolorem dolore labore. Amet est sit velit. Quisquam dolor porro consectetur eius voluptatem. Voluptatem modi amet ut dolor quaerat adipisci. Quiquia non dolor ut dolor voluptatem quiquia velit.;CogSci;2019;1-992923-45-0;Kin Kwok Lam|Nightingale Simiyu|Adrian Satja Kurdija;Quisquam consectetur sed est. Dolorem sit consectetur tempora amet. Dolorem magnam non numquam quaerat sit. Dolor dolore neque dolorem aliquam voluptatem non aliquam. Quiquia dolore sit porro tempora dolorem voluptatem ut. Ipsum est quaerat velit ipsum est. Quiquia adipisci dolore ut porro quaerat. Non etincidunt sed quisquam magnam labore. Porro quaerat eius non etincidunt consectetur eius. Quaerat sit eius etincidunt adipisci.;16;Azzurra Ruggeri;UCSI University;MY
