journal;volume;year;isbn;pages
Knowl. Based Syst.;24;2011;0-8352-4265-X;343
Int. J. Inf. Acquis.;4;2007;0-01-782496-6;228
CoRR;abs/2101.11992;2021;0-89692-265-0;346
SIAM J. Discret. Math.;13;2000;1-120-22668-6;259
J. Appl. Probab.;51;2014;1-76671-877-9;354
Discret. Math.;46;1983;1-77704-613-0;261
Biosyst.;206;2021;1-948324-32-6;388
CoRR;abs/2106.13718;2021;0-667-10744-4;254
Discret. Appl. Math.;178;2014;0-7285-6863-2;311
CoRR;abs/1111.6682;2011;0-10-970173-9;349
SIGACT News;20;1989;1-280-51039-0;371
CoRR;abs/2106.02656;2021;0-15-030021-2;266
Swarm Evol. Comput.;7;2012;0-312-76547-9;303
CoRR;abs/0712.3088;2007;1-64438-971-1;211
CoRR;abs/cs/0701111;2007;1-5192-8475-6;317
Inf. Sci.;297;2015;0-341-71265-5;185
IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.;27;2008;0-9802112-1-2;170
J. Electron. Test.;26;2010;1-102-12273-4;202
CoRR;abs/2003.03527;2020;1-04-694704-4;225
Perform. Evaluation;11;1990;1-358-53785-2;162
Networks;34;1999;1-70166-600-6;114
CoRR;abs/1908.02240;2019;1-288-48422-4;101
Fuzzy Sets Syst.;122;2001;1-7346981-7-9;293
Discret. Math.;218;2000;1-76983-483-4;110
J. Intell. Inf. Syst.;14;2000;0-211-24310-8;153
Ann. Oper. Res.;245;2016;1-66208-509-5;340
CoRR;abs/1603.03725;2016;1-9858-5819-3;376
CoRR;abs/1606.01985;2016;1-85720-931-1;324
Pattern Recognit. Lett.;34;2013;0-440-37253-4;336
Random Struct. Algorithms;16;2000;1-197-83794-9;316
Astron. Comput.;25;2018;1-78095-811-0;291
Interactions;16;2009;0-19-677896-4;241
Dagstuhl Reports;3;2013;1-388-30212-8;206
Int. J. Approx. Reason.;18;1998;0-7337-8620-0;178
CoRR;abs/1910.03998;2019;1-05-076973-2;284
CoRR;abs/1803.00197;2018;0-9636352-5-5;387
AI Mag.;26;2005;0-203-14598-4;117
CoRR;abs/1912.05063;2019;1-195-65353-0;111
Int. J. Creative Comput.;1;2016;1-890377-66-X;277
Wirtschaftsinf.;49;2007;0-9812226-3-3;350
CoRR;abs/1211.0313;2012;0-621-97531-1;187
Ann. Math. Artif. Intell.;83;2018;1-55188-254-X;299
CoRR;abs/2109.03670;2021;0-516-19792-4;226
CoRR;abs/1801.07624;2018;1-75781-054-4;346
Numer. Algorithms;72;2016;1-84789-764-9;303
AI Matters;6;2020;1-171-33972-0;239
CoRR;abs/0805.4029;2008;0-8384-7964-2;383
CoRR;abs/2105.09302;2021;0-406-96789-X;125
AStA Wirtschafts und Sozialstatistisches Arch.;4;2010;1-5023-3098-9;346
CoRR;abs/2111.06743;2021;1-4985-4769-9;228
CoRR;abs/2006.07117;2020;1-01-787649-5;150
IEEE Trans. Software Eng.;21;1995;0-226-12720-6;158
CoRR;abs/2110.07477;2021;1-379-19739-2;393
J. Comput. Sci.;27;2018;0-647-92907-4;389
Oper. Res.;15;1967;1-324-38906-0;324
CoRR;abs/1801.00903;2018;0-06-263431-3;297
IEEE Trans. Consumer Electron.;57;2011;0-396-64386-8;394
Comput. Biol. Medicine;132;2021;1-330-07349-5;307
Ad Hoc Networks;25;2015;0-06-766104-1;371
Inf. Control.;22;1973;0-217-25788-7;205
Entropy;19;2017;1-61637-923-5;380
CoRR;abs/1708.00102;2017;1-265-12715-8;275
Int. J. Algebra Comput.;23;2013;1-82032-363-3;115
RFC;4853;2007;0-07-191590-7;248
Algorithmic Finance;1;2011;0-15-398634-4;255
Math. Comput. Sci.;14;2020;1-243-86070-7;373
IEEE Wirel. Commun.;18;2011;0-05-986907-0;149
CoRR;abs/2106.14248;2021;0-472-52797-5;398
J. Appl. Log.;8;2010;0-7916-1188-4;119
Organ. Sci.;18;2007;1-390-48672-9;365
Inf. Sci.;506;2020;1-265-25801-5;154
CoRR;abs/2003.09361;2020;1-257-04902-X;259
Appl. Artif. Intell.;35;2021;0-09-335297-2;354
Integr.;58;2017;1-72847-384-5;215
Expert Syst. Appl.;51;2016;1-68093-172-5;385
Autom.;123;2021;0-07-623208-5;172
CoRR;abs/2004.05352;2020;0-06-128523-4;303
Comput. Methods Programs Biomed.;154;2018;1-365-38612-0;155
Simul. Model. Pract. Theory;52;2015;1-71029-706-9;398
CoRR;abs/2105.12407;2021;0-601-01014-0;296
BMC Bioinform.;7;2006;1-78720-384-0;397
CoRR;abs/2105.11328;2021;1-928567-68-1;369
IEEE Trans. Geosci. Remote. Sens.;35;1997;1-351-05024-9;336
J. Comput. Syst. Sci.;78;2012;1-969592-77-X;389
CoRR;abs/2003.09889;2020;0-568-26794-X;228
IEEE Intell. Syst.;17;2002;1-306-82864-3;321
CoRR;abs/2104.11051;2021;0-9716337-9-7;109
CoRR;abs/2108.04001;2021;1-344-23374-0;342
CoRR;abs/2106.11487;2021;0-04-638407-3;191
Angew. Inform.;31;1989;0-552-49164-0;380
CoRR;abs/1511.02354;2015;0-215-49444-X;350
CoRR;abs/1403.7365;2014;0-00-311046-X;205
IEEE Trans. Computers;51;2002;1-77780-503-1;342
Fuzzy Sets Syst.;221;2013;1-886403-69-4;219
Int. J. Game Theory;49;2020;1-365-90314-1;252
J. ACM;1;1954;0-267-69706-6;391
J. Comput. Appl. Math.;395;2021;1-07-704083-0;327
Comput. Ind. Eng.;113;2017;1-82900-382-8;157
Int. J. Found. Comput. Sci.;14;2003;1-109-95568-5;267
Sensors;11;2011;1-86367-232-X;168
J. Comput. Aided Mol. Des.;17;2003;0-396-59997-4;266
Electron. Notes Theor. Comput. Sci.;78;2003;0-8282-5876-7;141
IACR Cryptol. ePrint Arch.;2017;2017;1-07-375691-2;249
Axioms;6;2017;0-218-59518-2;119
Discret. Appl. Math.;260;2019;1-183-72489-6;128
Int. J. High Perform. Comput. Appl.;5;1991;1-309-65067-5;199
Numer. Algorithms;34;2003;1-214-32886-5;149
Multidimens. Syst. Signal Process.;31;2020;0-13-237379-3;205
Neural Networks;16;2003;1-913915-78-6;140
Kybernetika;29;1993;1-57075-597-3;355
CoRR;abs/2105.14118;2021;1-08-010424-0;328
CoRR;abs/1201.0849;2012;0-223-27899-8;199
Computing;9;1972;1-60083-762-X;219
Fuzzy Optim. Decis. Mak.;15;2016;0-510-92109-4;392
